"Vulnerabilities per 30 days","Count of Vulnerabilities"
"2014-12-06",599
"2015-01-05",730
"2015-02-04",455
"2015-03-06",496
"2015-04-05",501
"2015-05-05",450
"2015-06-04",548
"2015-07-04",562
"2015-08-03",617
"2015-09-02",525
"2015-10-02",691
"2015-11-01",368
"2015-12-01",562
"2015-12-31",644
"2016-01-30",413
"2016-02-29",341
"2016-03-30",645
"2016-04-29",613
"2016-05-29",477
"2016-06-28",774
"2016-07-28",392
"2016-08-27",564
"2016-09-26",667
"2016-10-26",343
"2016-11-25",577
"2016-12-25",758
"2017-01-24","1,447"
"2017-02-23","1,242"
"2017-03-25","1,345"
"2017-04-24","4,482"
"2017-05-24",973
"2017-06-23","1,216"
"2017-07-23","1,438"
"2017-08-22","1,294"
"2017-09-21","1,309"
"2017-10-21","1,199"
"2017-11-20","1,065"
"2017-12-20","1,651"
"2018-01-19","1,444"
"2018-02-18","2,151"
"2018-03-20","1,821"
"2018-04-19","1,080"
"2018-05-19","1,849"
"2018-06-18","1,771"
"2018-07-18","1,464"
"2018-08-17","1,125"
"2018-09-16","1,289"
"2018-10-16","1,255"
"2018-11-15","1,059"
"2018-12-15","1,168"
"2019-01-14","1,528"
"2019-02-13","1,413"
"2019-03-15","1,476"
"2019-04-14","1,165"
"2019-05-14","1,535"
"2019-06-13","1,278"
"2019-07-13","1,697"
"2019-08-12","1,747"
"2019-09-11","1,773"
"2019-10-11","1,663"
"2019-11-10","1,537"
"2019-12-10","2,034"
"2020-01-09","1,885"
"2020-02-08","1,389"
"2020-03-09","1,896"
"2020-04-08","2,079"
"2020-05-08","1,222"
"2020-06-07","1,646"
"2020-07-07","1,371"
"2020-08-06","1,415"
"2020-09-05","1,497"
"2020-10-05","1,597"
"2020-11-04","1,487"
"2020-12-04","1,469"
"2021-01-03","2,044"
"2021-02-02","1,639"
"2021-03-04","1,632"
"2021-04-03","1,693"
"2021-05-03","1,606"
"2021-06-02","1,896"
"2021-07-02","1,555"
"2021-08-01","2,186"
"2021-08-31","1,945"
"2021-09-30","1,756"
"2021-10-30","1,555"
"2021-11-29","2,437"
"2021-12-29","2,075"
"2022-01-28","2,121"
"2022-02-27","1,932"
"2022-03-29","2,216"
"2022-04-28","2,140"
"2022-05-28","1,987"
"2022-06-27","2,253"
"2022-07-27","2,318"
"2022-08-26","2,210"
"2022-09-25","1,797"
"2022-10-25","2,185"
"2022-11-24","2,512"
"2022-12-24","2,420"
"2023-01-23","2,526"
"2023-02-22","2,234"
